iron tawa/pan/nail | is | left
iron tawa/pan/nail | is left | exposed to atmosphere
iron tawa/pan/nail | exposed to | humid atmosphere
iron tawa/pan/nail | is left | exposed
iron tawa/pan/nail | is left | exposed to humid atmosphere
iron tawa/pan/nail | exposed to | atmosphere
grapes | get | fermented
food | is | cooked
food | gets digested in | our body
food | gets | digested
nature | have changed In | above situations
nature | have somewhat changed In | above situations
We | have learnt about | changes in our classes
We | have learnt about | changes of matter in our previous classes
We | have learnt about | physical changes in our classes
We | have learnt about | physical changes of matter in our previous classes
We | have learnt about | physical changes of matter in our classes
We | have already learnt about | physical changes
We | have already learnt about | physical changes of matter in our classes
We | have already learnt about | physical changes in our classes
We | have learnt about | changes
We | have already learnt about | changes of matter in our classes
We | have already learnt about | changes in our classes
We | have already learnt about | physical changes of matter
physical changes | is in | our previous classes
We | have learnt about | physical changes in our previous classes
We | have learnt about | physical changes of matter
We | have already learnt about | changes
We | have already learnt about | physical changes in our previous classes
We | have already learnt about | changes of matter
We | have already learnt about | changes of matter in our previous classes
We | have already learnt about | changes in our previous classes
We | have learnt about | changes in our previous classes
We | have learnt about | physical changes
We | have already learnt about | physical changes of matter in our previous classes
We | have learnt about | changes of matter in our classes
We | have learnt about | changes of matter
chemical reaction | taken | place
we | do come | know
reaction | taken | place
us | find | answer
us | perform | activities
teacher | has | assistance
It | would | would better
students | wear | suitable eyeglasses
students | wear | eyeglasses
it | collect | ash formed in watch-glass
it | collect | ash so formed
it | collect | ash so formed in watch-glass
it | collect | ash formed
it | using | spirit lamp
magnesium ribbon | is in | air of magnesium oxide
magnesium ribbon burns | is with | dazzling white flame into white powder
It | is | formed
It | is formed | due to reaction between magnesium
It | is formed | due to reaction between magnesium present in air
It | is formed | due
It | is formed | due to reaction between magnesium present
It | is formed | due to reaction
n n n | Take | lead solution
n n n | Take | solution
1.2 n n n | Take | lead solution
n n n | Take | nitrate solution
n n n | Take solution in | test tube
1.2 n n n | Take | lead nitrate solution
n n n | Take | lead nitrate solution
1.2 n n n | Take | nitrate solution
1.2 n n n | Take | solution
1.2 n n n | Take solution in | test tube
1.3 n n n n | Take | zinc granules
n n n n | Take | few zinc granules
n n n n | Take | zinc granules
1.3 n n n n | Take zinc granules in | conical flask
1.3 n n n n | Take zinc granules in | flask
n n n n | Take zinc granules in | conical flask
1.3 n n n n | Take | few zinc granules
n n n n | Take zinc granules in | flask
anything | happening around | zinc granules
you | Do observe | anything happening
you | Do observe | anything
you | Do observe | anything happening around zinc granules
there change | is in | its temperature
n n n n change | is in | state change
we | can say From | three activities
state change | is in | colour evolution of gas change
gas change | is in | temperature
we | can say From | above three activities
we | observe | changes around us
we | observe | changes
we | changes around | us
We | will study about | various types of reactions
We | will study about | types of reactions
We | will study about | various types of chemical reactions
We | will study about | types
We | will study about | types of chemical reactions
their symbolic representation | is in | Chapter
We | will study about | various types
it | gets converted to | magnesium oxide
it | gets | converted
1.1 CHEMIC EQUATIONS CHEMICAL Activity 1.1 | be | described
chemical reaction | is in | sentence form
It | can | can written in shorter form
It | can | can written in form
It | can | can written
way | write | it
simplest way | write | it
word-equation | would | would reactants
substance | is | magnesium oxide formed during reaction as product
new substance | is | magnesium oxide formed during reaction
substance | is | magnesium oxide as product
new substance | is | magnesium oxide as product
new substance | is | magnesium oxide
new substance | is | magnesium oxide formed as product
substance | is | magnesium oxide
new substance | is | magnesium oxide formed during reaction as product
substance | is | magnesium oxide formed during reaction
new substance | is | magnesium oxide formed
substance | is | magnesium oxide formed as product
substance | is | magnesium oxide formed
word-equation | shows | change of reactants to products
word-equation | shows | change of reactants
word-equation | shows change through | arrow placed
word-equation | shows change through | arrow placed between them
word-equation | shows | change
word-equation | shows | change to products
word-equation | shows change through | arrow
reactants | are written on | left-hand side with
reactants | are written on | side with
reactants | are | written
reactants | are written on | left-hand side
reactants | are written on | side
reactants | are written on | LHS
products | are written on | right-hand side
products | Similarly are written on | right-hand side
products | Similarly are written on | side with
products | Similarly are written on | right-hand side with
products | are written on | right-hand side with
products | are written on | side
products | are written on | RHS
products | are | written
products | Similarly are written on | side
products | are | Similarly written
products | are written on | side with
products | Similarly are written on | RHS
we | use formulae instead of | words
we | use | formulae
we | use | chemical formulae
equation | represents | reaction
chemical equation | represents | chemical reaction
equation | represents | chemical reaction
chemical equation | represents | reaction
you | formulae of | magnesium
word-equation | can | can written
you | recall | formulae of magnesium
word-equation | can | can written as
you | recall | formulae
equation | is | yes balanced
equation | is | balanced
equation | is | chemical
equation | is | skeletal
Equation | is equation for | burning of magnesium in air
Equation | is skeletal equation for | burning
Equation | is equation for | burning
Equation | is | chemical
Equation | is | skeletal equation
Equation | is equation for | burning of magnesium
Equation | is chemical equation for | burning in air
Equation | is | chemical equation
Equation | is chemical equation for | burning of magnesium
Equation | is skeletal chemical equation for | burning in air
Equation | is skeletal equation for | burning in air
Equation | is skeletal chemical equation for | burning of magnesium
Equation | is chemical equation for | burning of magnesium in air
Equation | is skeletal chemical equation for | burning
Equation | is equation for | burning in air
Equation | is | skeletal
Equation | is | equation
Equation | is skeletal equation for | burning of magnesium in air
Equation | is chemical equation for | burning
Equation | is skeletal chemical equation for | burning of magnesium in air
Equation | is | skeletal chemical equation
Equation | is skeletal equation for | burning of magnesium
burning | is in | air
mass | can | can created
mass | can | can neither created
mass | destroyed in | reaction
you | studied in | Class IX
mass | destroyed in | chemical reaction
number | remains | same before reaction
number | remains | same before chemical reaction
number | remains | same
number | remains In | words
number | remains In | other words
we | balance | skeletal equation
we | balance | chemical equation
we | balance | skeletal chemical equation
we | balance | equation
us | balancing | equation step
equation | step by | step
chemical equation | step by | step
us | balancing | chemical equation step
us | balancing | equation step by step
us | balancing | chemical equation
us | balancing | equation
us | balancing | chemical equation step by step
us | number of | atoms
us | examine number on | sides of arrow
us | number of | atoms of different elements
us | number of | atoms of elements
atoms | is in | products
atoms | is in | reactants Number of atoms
us | balance | chemical equation
us | balance | equation
us | balance | following chemical equation
us | balance | following equation
List | number of | atoms of elements present
List | number of | atoms of different elements present in equation
List | number of | atoms of elements present in unbalanced equation
List | number of | atoms of elements
List | number of | atoms of elements present in equation
List | number of | atoms of different elements present in unbalanced equation
List | number of | atoms of different elements present
List | number of | atoms of different elements
List | number of | atoms
atoms | is in | products
atoms | is in | reactants Number of atoms
It | may | may reactant
we | select | Fe3O4
we | select Fe3O4 in | it
we | balance | oxygen atoms
equation | Now becomes | 1.6 Fe balanced equation
equation | becomes | 1.6 Fe partly balanced equation
balanced equation | Now becomes | 1.6 Fe partly balanced equation
balanced equation | becomes | 1.6 Fe equation
equation | Now becomes | 1.6 Fe partly balanced equation
balanced equation | Now becomes | 1.6 Fe equation
equation | Now becomes | 1.6 Fe equation
equation | becomes | 1.6 Fe balanced equation
equation | becomes | 1.6 Fe equation
balanced equation | becomes | 1.6 Fe balanced equation
balanced equation | becomes | 1.6 Fe partly balanced equation
balanced equation | Now becomes | 1.6 Fe balanced equation
us | balance hydrogen atoms in | equation
us | balance | hydrogen atoms
us | balance hydrogen atoms in | partly balanced equation
