Word,num_occurrences
a,10380
aa,0
ability,20
abiotic,19
able,125
abnormal,0
absence,26
absent,5
absolute,6
absorb,26
absorbed,45
absorbent,0
absorbs,7
abundant,4
accelerate,1
accelerated,13
accelerates,4
accelerating,3
acceleration,81
acceptable,0
acceptance,0
accepted,9
access,10
accident,2
accidental,4
accidents,1
according,44
accounts,3
accumulation,9
accuracy,1
accurate,3
accurately,1
achieve,11
acid,213
acidic,54
acids,94
acorns,0
acquire,14
acquired,9
acres,0
across,105
act,40
acted,4
acting,72
action,62
actionatadistance,0
actions,16
active,11
actively,1
activities,211
activity,894
acts,50
adapt,5
adaptation,11
adaptations,19
adapted,24
adapting,0
adaptive,0
adapts,0
add,132
added,39
adding,29
addition,31
additional,18
adds,7
adenine,0
adh,0
adjacent,6
adjust,15
adjusted,2
adjusting,2
adjusts,1
ads,0
adult,24
adults,4
advance,7
advanced,5
advancement,1
advancements,1
advancing,0
advantage,14
adverse,1
advertisements,1
advertising,0
advise,4
aeration,5
aerobic,16
aerosol,3
affect,36
affected,26
affecting,9
affects,10
africa,3
afternoon,6
afterwards,0
age,47
ages,4
aggressive,0
ago,7
agree,8
agricultural,29
aid,3
aids,12
air,535
aircraft,1
airplane,0
airtight,3
al,19
alaska,1
alcohol,31
alert,4
algae,17
algal,0
alicia,0
alike,3
alive,4
alkaline,3
allele,0
alleles,0
allen,0
allergic,0
allow,71
allowed,23
allowing,7
allows,37
almost,22
alo,0
alone,6
along,202
alongside,0
alps,0
also,996
alter,3
altered,1
altering,0
alternate,7
alternating,4
alternative,6
although,19
altitude,1
aluminum,1
always,115
am,29
america,2
americas,0
amfm,0
amino,12
ammonia,7
amoeba,36
amoebas,0
among,47
amount,205
amounts,36
amplified,5
amplitude,17
amu,0
analogous,3
analysis,4
analyze,0
analyzed,0
analyzing,0
anaphase,0
ancestor,4
anchor,2
ancient,40
anderson,0
andy,0
anemia,0
anemometer,6
angle,65
animal,132
animals,435
anna,0
anne,0
annual,6
another,256
answer,75
answered,6
antibiotic,5
antibioticresistant,0
antibiotics,17
antibodies,4
antidiuretic,0
antlers,0
antonia,0
apart,19
apartment,0
apartments,0
aphid,0
aphids,0
appalachians,0
apparatus,21
apparent,15
appear,85
appearance,25
appeared,6
appearing,8
appears,69
apple,18
apples,0
appliances,14
applied,53
applies,11
approach,10
appropriate,21
approximately,16
apron,0
aquarium,5
aquatic,29
aquifer,3
ar,4
archaea,0
arctic,0
area,128
areas,69
argon,7
argument,3
ariana,0
arid,1
arises,10
arizona,0
arkansas,0
arms,17
around,277
arranged,31
arrangement,30
arrived,4
arsenic,0
article,8
articles,33
artificial,40
arturo,0
asexual,35
asexually,2
ash,9
ask,74
asked,27
aspect,8
assemble,0
assembled,3
assembly,5
associated,27
assortment,0
assuming,2
assumption,0
asteroid,2
asteroids,7
asthenosphere,0
astronaut,1
astronomer,0
astronomers,1
astronomical,4
astronomy,9
astronomybased,0
ate,4
athlete,15
athletic,1
atlantic,2
atmosphere,81
atmospheric,38
atom,116
atomic,157
atoms,179
atp,12
attach,6
attached,38
attaching,0
attack,5
attempt,27
attention,3
attract,28
attracted,27
attracting,2
attraction,33
attracts,13
au,3
august,4
australia,0
author,1
automobile,6
automobiles,11
availability,31
available,103
average,81
averages,0
avoid,27
avoided,2
away,125
axis,27
axles,1
b,139
babies,7
baby,21
back,138
backbones,0
background,1
backs,0
bacteria,85
bacterial,12
bacterium,5
bad,6
bag,21
bags,45
baker,0
bakes,1
baking,35
balance,55
balanced,46
baleen,0
ball,165
balloon,40
balloons,16
balls,7
balsam,1
band,19
bands,4
bank,4
banks,0
bar,53
bare,3
bark,9
barometer,0
barrier,2
barriers,0
bars,1
basalt,0
base,61
baseball,0
based,63
basic,122
basin,0
basins,1
basketball,0
basketballs,0
bass,0
batter,0
batteries,3
battery,55
batterypowered,0
bay,3
bb,0
beach,1
beads,4
beaker,67
beakers,11
beams,3
bear,17
bears,6
beating,8
beautiful,15
beavers,0
became,14
become,121
becomes,104
becoming,13
bed,14
bedroom,0
bees,10
began,10
begging,0
begin,39
beginning,15
begins,43
behaves,9
behavior,0
behavioral,0
behaviors,0
believe,1
believed,5
believes,1
belonged,0
belt,4
belts,2
ben,0
bend,30
beneath,2
beneficial,6
benefit,3
benefited,1
benefits,11
bernice,0
beryllium,2
best,24
betacarotene,0
betsy,0
better,58
biased,0
bicycle,21
bicyclists,0
big,49
bigger,14
bike,0
bikes,0
bile,9
bill,1
billions,4
bills,0
bin,1
bind,2
binding,5
biodiversity,17
biofuel,0
biogas,9
biological,25
biologist,0
biology,2
bioluminescence,0
biomass,2
biomes,0
biomolecule,0
biosphere,26
biotechnology,0
bird,17
birds,47
birth,17
bison,0
bites,0
black,41
blackandwhite,0
bladder,17
blanket,6
blend,0
blender,0
blindness,2
blink,0
block,37
blocks,6
blog,0
blood,192
bloodstream,1
bloom,2
blooms,0
blow,22
blowing,15
blows,7
blue,66
board,21
boards,2
boat,20
boats,5
bodies,61
body,447
boil,12
boiling,60
boils,0
bolt,1
bond,19
bonds,24
bone,24
bones,63
bonfire,0
book,68
books,12
boots,0
born,21
boron,5
boston,0
bottle,66
bottled,1
bottles,18
bottom,42
boulder,0
boulders,0
bounce,0
bounces,3
boundaries,11
boundary,7
bowl,10
bowling,1
bowlshaped,0
box,58
boy,13
br,6
brackish,1
brain,32
brakes,13
braking,1
branch,11
branches,20
brand,1
brands,0
brazilians,0
bread,18
breads,0
break,41
breakdown,17
breaking,12
breaks,20
breath,6
breathe,45
breathes,3
breathing,51
breed,9
breeding,10
brianna,0
brick,10
bridge,1
bridges,1
bright,45
brightly,4
brightness,0
bring,78
brings,16
brittle,1
broader,1
broke,2
broken,38
bromide,3
bromine,6
broom,0
brothers,0
brought,37
brown,24
brush,10
brushing,7
bubbles,24
bubbling,0
bucket,22
buds,20
build,13
building,39
buildings,23
builds,1
buildup,0
built,14
buisson,0
bulb,143
bulbs,18
bulldozer,0
bulletproof,0
bumped,0
bundle,3
bundles,3
bunsen,3
buoyancy,5
buoyant,5
burial,0
buried,6
burn,38
burned,0
