Word,num_occurrences
aa,5884
ability,42236
abiotic,4127
able,69457
abnormal,6357
absence,12863
absent,7446
absolute,7855
absorb,8188
absorbed,8104
absorbent,820
absorbs,2859
abundant,13944
accelerate,1908
accelerated,2482
accelerates,719
accelerating,1240
acceleration,4394
acceptable,4646
acceptance,3588
accepted,11908
access,23532
accident,6579
accidental,2803
accidents,3036
according,57835
accounts,8058
accumulation,6410
accuracy,5139
accurate,9652
accurately,4258
achieve,9532
acid,46166
acidic,4284
acids,18269
acorns,1419
acquire,4461
acquired,9558
acres,6053
across,49100
act,42917
acted,3408
acting,10977
action,39326
actionatadistance,21
actions,14403
active,34315
actively,5559
activities,29440
activity,47658
acts,14529
adapt,7998
adaptation,21210
adaptations,13161
adapted,16432
adapting,1556
adaptive,9205
adapts,598
add,26897
added,30287
adding,11746
addition,39646
additional,28283
adds,5798
adenine,723
adh,858
adjacent,7706
adjust,4329
adjusted,2944
adjusting,1339
adjusts,438
ads,1946
adult,51015
adults,28183
advance,8129
advanced,13807
advancement,1676
advancements,456
advancing,1521
advantage,16429
adverse,5665
advertisements,985
advertising,4345
advise,2090
aeration,901
aerobic,2960
aerosol,993
affect,26220
affected,21786
affecting,6563
affects,11335
africa,34782
afternoon,5727
afterwards,4447
age,74958
ages,12414
aggressive,11274
ago,41446
agree,11392
agricultural,15337
aid,13301
aids,5224
air,81940
aircraft,7795
airplane,1670
airtight,627
al,104084
alaska,8691
alcohol,14124
alert,3716
algae,25361
algal,4078
alicia,477
alike,4556
alive,17334
alkaline,3371
allele,7144
alleles,7775
allen,4633
allergic,4315
allow,34610
allowed,21160
allowing,13888
allows,24888
almost,56223
alo,230
alone,24935
along,75339
alongside,4897
alps,1503
also,467220
alter,5903
altered,6187
altering,1990
alternate,5722
alternating,2626
alternative,14591
although,90114
altitude,4857
aluminum,4219
always,67321
america,52679
americas,5913
amfm,53
amino,12841
ammonia,7063
amoeba,2691
amoebas,775
among,79779
amount,53225
amounts,19125
amplified,1337
amplitude,1516
amu,211
analogous,3156
analysis,40402
analyze,3509
analyzed,4914
analyzing,2085
anaphase,1092
ancestor,8552
anchor,2892
ancient,24395
anderson,5239
andy,1843
anemia,3137
anemometer,389
angle,9443
animal,109218
animals,169407
anna,3115
anne,3409
annual,23135
another,126191
answer,28069
answered,4012
antibiotic,4027
antibioticresistant,203
antibiotics,5984
antibodies,4883
antidiuretic,348
antlers,2961
antonia,168
apart,16817
apartment,3575
apartments,906
aphid,3089
aphids,5109
appalachians,362
apparatus,5954
apparent,11164
appear,36555
appearance,25412
appeared,19281
appearing,4173
appears,29968
apple,9716
apples,3790
appliances,1485
applied,24813
applies,5119
approach,23848
appropriate,17630
approximately,26565
apron,435
aquarium,6560
aquatic,18858
aquifer,1149
ar,4418
archaea,2595
arctic,12196
area,100794
areas,91222
argon,1121
argument,9046
ariana,154
arid,4350
arises,3825
arizona,7726
arkansas,3103
arms,15190
around,127268
arranged,8290
arrangement,7559
arrived,8801
arsenic,3333
article,41951
articles,13176
artificial,12384
arturo,217
asexual,18626
asexually,3857
ash,5038
ask,21893
asked,20261
aspect,8079
assemble,1274
assembled,2293
assembly,6812
associated,45360
assortment,1524
assuming,4657
assumption,4414
asteroid,2740
asteroids,2429
asthenosphere,142
astronaut,1257
astronomer,2388
astronomers,4212
astronomical,3848
astronomy,6431
astronomybased,2
ate,6196
athlete,2202
athletic,2443
atlantic,15037
atmosphere,20652
atmospheric,8932
atom,7875
atomic,8250
atoms,14103
atp,5987
attach,5269
attached,17302
attaching,1218
attack,25804
attempt,16006
attention,24858
attract,8891
attracted,6504
attracting,1911
attraction,5491
attracts,2149
au,4325
august,28371
australia,30226
author,18463
automobile,2152
automobiles,1518
availability,10039
available,64377
average,46608
averages,1899
avoid,27562
avoided,4229
away,66893
axis,9724
axles,266
b,151789
babies,13176
baby,28691
back,119923
backbones,404
background,11934
backs,3046
bacteria,44700
bacterial,12953
bacterium,3922
bad,27691
bag,9577
bags,4717
baker,4026
bakes,69
baking,2442
balance,17926
balanced,5359
baleen,1277
ball,16431
balloon,2767
balloons,1304
balls,4655
balsam,877
band,20527
bands,9837
bank,13947
banks,7656
bar,11138
bare,4805
bark,12737
barometer,740
barrier,7906
barriers,4068
bars,5513
basalt,826
base,34116
baseball,4697
based,67993
basic,27257
basin,9466
basins,2294
basketball,3520
basketballs,41
bass,9390
batter,754
batteries,3988
battery,7132
batterypowered,110
bay,15931
bb,2549
beach,12361
beads,1490
beaker,825
beakers,233
beams,1434
bear,19536
bears,15076
beating,2784
beautiful,16958
beavers,1789
became,48655
become,88551
becomes,33970
becoming,17089
bed,14576
bedroom,2034
bees,13717
began,34466
begging,1096
begin,27566
beginning,24703
begins,20341
behaves,1110
behavior,62597
behavioral,11031
behaviors,11946
believe,33189
believed,20382
believes,5840
belonged,2038
belt,6277
belts,1772
ben,4585
bend,3971
beneath,9486
beneficial,9768
benefit,15997
benefited,1051
benefits,21141
bernice,120
beryllium,849
best,89591
betacarotene,570
betsy,339
better,64503
biased,1174
bicycle,2097
bicyclists,72
big,64945
bigger,10655
bike,3998
bikes,1309
bile,4786
bill,16308
billions,2360
bills,4265
bin,2445
bind,3928
binding,6911
biodiversity,9442
biofuel,500
biogas,251
biological,33276
biologist,4207
biology,41182
bioluminescence,735
biomass,8782
biomes,2773
biomolecule,42
biosphere,2696
biotechnology,2200
bird,41796
birds,86096
birth,33548
bison,6003
bites,4321
black,77966
blackandwhite,687
bladder,6555
blanket,1988
blend,4011
blender,579
blindness,1708
blink,597
block,11287
blocks,7400
blog,4594
blood,85069
bloodstream,2393
bloom,6881
blooms,4513
blow,5458
blowing,2281
blows,1857
blue,36953
board,18522
boards,3382
boat,9190
boats,4189
bodies,30227
body,168076
boil,2377
boiling,5822
boils,946
bolt,2097
bond,10831
bonds,8052
bone,26163
bones,20314
bonfire,178
book,55442
books,24359
boots,3066
born,46972
boron,1937
boston,6627
bottle,7613
bottled,845
bottles,3361
bottom,27110
boulder,1378
boulders,924
bounce,1375
bounces,344
boundaries,5460
boundary,6388
bowl,6601
bowling,1237
bowlshaped,149
box,21673
boy,13794
br,7194
brackish,1693
brain,39765
brakes,1194
braking,460
branch,15340
branches,19123
brand,8597
brands,3480
brazilians,95
bread,8245
breads,762
break,21968
breakdown,4271
breaking,8236
breaks,7478
breath,7824
breathe,6890
breathes,768
breathing,15669
breed,21329
breeding,39960
brianna,62
brick,2349
bridge,8520
bridges,2702
bright,14569
brightly,1959
brightness,2201
bring,24231
brings,7648
brittle,2333
broader,3549
broke,5403
broken,14229
bromide,858
bromine,795
broom,1059
brothers,8090
brought,24384
