Word,num_occurrences
aa,3
ability,274
abiotic,0
able,107
abnormal,279
absence,176
absent,29
absolute,70
absorb,28
absorbed,54
absorbent,40
absorbs,18
abundant,120
accelerate,1
accelerated,10
accelerates,9
accelerating,12
acceleration,35
acceptable,22
acceptance,54
accepted,126
access,106
accident,39
accidental,16
accidents,16
according,161
accounts,48
accumulation,64
accuracy,14
accurate,22
accurately,6
achieve,74
acid,931
acidic,50
acids,93
acorns,26
acquire,14
acquired,91
acres,5
across,236
act,3106
acted,11
acting,124
action,709
actionatadistance,0
actions,124
active,297
actively,15
activities,207
activity,580
acts,205
adapt,6
adaptation,17
adaptations,5
adapted,75
adapting,7
adaptive,1
adapts,4
add,11
added,163
adding,50
addition,79
additional,57
adds,11
adenine,11
adh,2
adjacent,128
adjust,9
adjusted,18
adjusting,24
adjusts,3
ads,3
adult,139
adults,114
advance,97
advanced,73
advancement,26
advancements,0
advancing,29
advantage,106
adverse,26
advertisements,11
advertising,55
advise,7
aeration,4
aerobic,26
aerosol,19
affect,44
affected,60
affecting,69
affects,63
africa,1126
afternoon,19
afterwards,0
age,294
ages,60
aggressive,66
ago,96
agree,22
agricultural,55
aid,92
aids,36
air,791
aircraft,249
airplane,118
airtight,5
al,36
alaska,170
alcohol,211
alert,34
algae,171
algal,2
alicia,3
alike,4
alive,33
alkaline,31
allele,15
alleles,14
allen,17
allergic,59
allow,63
allowed,49
allowing,28
allows,93
almost,125
alo,0
alone,53
along,520
alongside,7
alps,31
also,212
alter,7
altered,16
altering,11
alternate,36
alternating,41
alternative,97
although,49
altitude,52
aluminum,83
always,30
america,3273
americas,48
amfm,0
amino,116
ammonia,45
amoeba,4
amoebas,9
among,206
amount,530
amounts,107
amplified,9
amplitude,32
amu,0
analogous,16
analysis,170
analyze,8
analyzed,3
analyzing,13
anaphase,1
ancestor,47
anchor,38
ancient,713
anderson,13
andy,2
anemia,120
anemometer,1
angle,233
animal,625
animals,519
anna,13
anne,26
annual,811
another,1080
answer,42
answered,2
antibiotic,91
antibioticresistant,0
antibiotics,20
antibodies,49
antidiuretic,5
antlers,35
antonia,0
apart,44
apartment,33
apartments,6
aphid,24
aphids,11
appalachians,9
apparatus,97
apparent,85
appear,101
appearance,238
appeared,38
appearing,54
appears,67
apple,193
apples,62
appliances,11
applied,192
applies,26
approach,62
appropriate,81
approximately,72
apron,10
aquarium,22
aquatic,342
aquifer,1
ar,7
archaea,0
arctic,219
area,1046
areas,421
argon,8
argument,91
ariana,1
arid,59
arises,51
arizona,127
arkansas,51
arms,210
around,741
arranged,149
arrangement,176
arrived,20
arsenic,38
article,81
articles,107
artificial,133
arturo,1
asexual,29
asexually,7
ash,137
ask,7
asked,14
aspect,66
assemble,6
assembled,33
assembly,85
associated,366
assortment,19
assuming,16
assumption,42
asteroid,10
asteroids,1
asthenosphere,1
astronaut,11
astronomer,88
astronomers,3
astronomical,17
astronomy,32
astronomybased,0
ate,8
athlete,69
athletic,50
atlantic,618
atmosphere,162
atmospheric,74
atom,133
atomic,396
atoms,160
atp,11
attach,31
attached,289
attaching,31
attack,220
attempt,90
attention,153
attract,35
attracted,12
attracting,10
attraction,80
attracts,31
au,14
august,44
australia,498
author,187
automobile,115
automobiles,45
availability,4
available,195
average,80
averages,4
avoid,50
avoided,11
away,193
axis,145
axles,4
b,120
babies,27
baby,110
back,642
backbones,0
background,74
backs,10
bacteria,347
bacterial,82
bacterium,100
bad,79
bag,165
bags,10
baker,9
bakes,7
baking,61
balance,124
balanced,21
baleen,8
ball,489
balloon,34
balloons,4
balls,70
balsam,65
band,200
bands,45
bank,256
banks,86
bar,217
bare,13
bark,529
barometer,11
barrier,77
barriers,10
bars,76
basalt,3
base,487
baseball,220
based,415
basic,419
basin,62
basins,2
basketball,100
basketballs,0
bass,121
batter,93
batteries,7
battery,71
batterypowered,0
bay,271
bb,7
beach,69
beads,17
beaker,4
beakers,0
beams,18
bear,154
bears,78
beating,27
beautiful,87
beavers,14
became,291
become,221
becomes,119
becoming,140
bed,218
bedroom,19
bees,48
began,56
begging,5
begin,30
beginning,197
begins,45
behaves,27
behavior,378
behavioral,21
behaviors,11
believe,44
believed,212
believes,53
belonged,2
belt,101
belts,11
ben,13
bend,52
beneath,112
beneficial,18
benefit,63
benefited,0
benefits,32
bernice,0
beryllium,9
best,196
betacarotene,0
betsy,2
better,64
biased,4
bicycle,50
bicyclists,0
big,109
bigger,0
bike,16
bikes,0
bile,39
bill,228
billions,3
bills,28
bin,48
bind,20
binding,59
biodiversity,1
biofuel,0
biogas,0
biological,128
biologist,45
biology,45
bioluminescence,1
biomass,2
biomes,0
biomolecule,0
biosphere,1
biotechnology,3
bird,505
birds,435
birth,212
bison,20
bites,25
black,1329
blackandwhite,0
bladder,85
blanket,26
