Word,num_occurrences
aa,391
ability,6418
abiotic,24
able,787
abnormal,1391
absence,402
absent,1731
absolute,12360
absorb,116
absorbed,134
absorbent,1065
absorbs,80
abundant,3715
accelerate,96
accelerated,66
accelerates,13
accelerating,42
acceleration,325
acceptable,2183
acceptance,478
accepted,198
access,16627
accident,1403
accidental,2951
accidents,36
according,196
accounts,246
accumulation,1253
accuracy,1109
accurate,16151
accurately,31
achieve,155
acid,12722
acidic,3139
acids,371
acorns,33
acquire,114
acquired,124
acres,277
across,6884
act,4808
acted,24
acting,806
action,26474
actionatadistance,0
actions,279
active,20588
actively,42
activities,626
activity,19625
acts,298
adapt,31
adaptation,1694
adaptations,8
adapted,100
adapting,8
adaptive,1740
adapts,5
add,476
added,444
adding,99
addition,4337
additional,7929
adds,87
adenine,113
adh,54
adjacent,2514
adjust,182
adjusted,118
adjusting,115
adjusts,3
ads,406
adult,20246
adults,452
advance,985
advanced,3713
advancement,136
advancements,0
advancing,41
advantage,845
adverse,1699
advertisements,26
advertising,3881
advise,29
aeration,207
aerobic,615
aerosol,886
affect,197
affected,2764
affecting,72
affects,197
africa,3171
afternoon,1005
afterwards,6
age,277264
ages,170
aggressive,6071
ago,262
agree,86
agricultural,3734
aid,2871
aids,322
air,32693
aircraft,5045
airplane,2075
airtight,146
al,797
alaska,1749
alcohol,4978
alert,1072
algae,581
algal,128
alicia,128
alike,1027
alive,1356
alkaline,676
allele,178
alleles,20
allen,329
allergic,822
allow,150
allowed,107
allowing,64
allows,224
almost,2048
alo,5
alone,5276
along,5418
alongside,21
alps,100
also,9277
alter,654
altered,59
altering,22
alternate,1484
alternating,271
alternative,5181
although,71
altitude,719
aluminum,6082
always,12442
america,7670
americas,102
amfm,0
amino,1961
ammonia,625
amoeba,43
amoebas,9
among,495
amount,2018
amounts,165
amplified,54
amplitude,304
amu,5
analogous,309
analysis,2825
analyze,19
analyzed,4
analyzing,29
anaphase,1
ancestor,1015
anchor,2460
ancient,4809
anderson,272
andy,111
anemia,219
anemometer,67
angle,5833
animal,19060
animals,1335
anna,157
anne,223
annual,19306
another,3316
answer,5326
answered,8
antibiotic,1898
antibioticresistant,0
antibiotics,45
antibodies,81
antidiuretic,32
antlers,40
antonia,3
apart,121
apartment,7148
apartments,217
aphid,3264
aphids,15
appalachians,13
apparatus,12713
apparent,2242
appear,1747
appearance,9327
appeared,506
appearing,99
appears,1085
apple,9356
apples,110
appliances,338
applied,227
applies,33
approach,11984
appropriate,41244
approximately,520
apron,772
aquarium,1515
aquatic,2283
aquifer,548
ar,188
archaea,4
arctic,2202
area,69618
areas,1047
argon,398
argument,1341
ariana,4
arid,305
arises,51
arizona,1045
arkansas,572
arms,2117
around,8362
arranged,153
arrangement,669
arrived,63
arsenic,613
article,11915
articles,673
artificial,4846
arturo,2
asexual,159
asexually,8
ash,3544
ask,118
asked,41
aspect,520
assemble,35
assembled,58
assembly,5933
associated,600
assortment,69
assuming,29
assumption,380
asteroid,606
asteroids,7
asthenosphere,15
astronaut,765
astronomer,829
astronomers,14
astronomical,472
astronomy,403
astronomybased,0
ate,41
athlete,1669
athletic,1731
atlantic,7103
atmosphere,3542
atmospheric,1781
atom,3454
atomic,7173
atoms,199
atp,430
attach,148
attached,304
attaching,49
attack,9673
attempt,635
attention,1022
attract,55
attracted,22
attracting,23
attraction,2963
attracts,46
au,1612
august,419
australia,1143
author,3892
automobile,2710
automobiles,62
availability,441
available,36749
average,22220
averages,16
avoid,97
avoided,14
away,884
axis,2199
axles,8
b,2910
babies,161
baby,16634
back,32233
backbones,0
background,7580
backs,36
bacteria,815
bacterial,5209
bacterium,1376
bad,8741
bag,13610
bags,205
baker,1573
bakes,9
baking,702
balance,5796
balanced,450
baleen,388
ball,20090
balloon,2571
balloons,41
balls,211
balsam,682
band,12353
bands,202
bank,16566
banks,282
bar,15473
bare,2121
bark,3544
barometer,367
barrier,3284
barriers,49
bars,319
basalt,369
base,23948
baseball,5691
based,1157
basic,8384
basin,2329
basins,4
basketball,4886
basketballs,1
